# e/g shape veto vs |ieta|, hwPt
# Index is (|ieta|-1)*256*64+shape*256+hwPt
# Veto corresponding to 99.5% efficiency.
#anything after # is ignored with the exception of the header
#the header is first valid line starting with #<header> versionStr(unused but may be in future) nrBitsAddress nrBitsData </header>
#<header> V1 19 1 </header>

543 1 # ieta=1, shape=2, ET=31
544 1 # ieta=1, shape=2, ET=32
545 1 # ieta=1, shape=2, ET=33
546 1 # ieta=1, shape=2, ET=34
547 1 # ieta=1, shape=2, ET=35
548 1 # ieta=1, shape=2, ET=36
549 1 # ieta=1, shape=2, ET=37
550 1 # ieta=1, shape=2, ET=38
551 1 # ieta=1, shape=2, ET=39
552 1 # ieta=1, shape=2, ET=40
553 1 # ieta=1, shape=2, ET=41
554 1 # ieta=1, shape=2, ET=42
555 1 # ieta=1, shape=2, ET=43
556 1 # ieta=1, shape=2, ET=44
557 1 # ieta=1, shape=2, ET=45
558 1 # ieta=1, shape=2, ET=46
559 1 # ieta=1, shape=2, ET=47
560 1 # ieta=1, shape=2, ET=48
561 1 # ieta=1, shape=2, ET=49
562 1 # ieta=1, shape=2, ET=50
563 1 # ieta=1, shape=2, ET=51
564 1 # ieta=1, shape=2, ET=52
565 1 # ieta=1, shape=2, ET=53
566 1 # ieta=1, shape=2, ET=54
567 1 # ieta=1, shape=2, ET=55
568 1 # ieta=1, shape=2, ET=56
569 1 # ieta=1, shape=2, ET=57
570 1 # ieta=1, shape=2, ET=58
571 1 # ieta=1, shape=2, ET=59
572 1 # ieta=1, shape=2, ET=60
573 1 # ieta=1, shape=2, ET=61
574 1 # ieta=1, shape=2, ET=62
575 1 # ieta=1, shape=2, ET=63
576 1 # ieta=1, shape=2, ET=64
577 1 # ieta=1, shape=2, ET=65
578 1 # ieta=1, shape=2, ET=66
579 1 # ieta=1, shape=2, ET=67
580 1 # ieta=1, shape=2, ET=68
581 1 # ieta=1, shape=2, ET=69
582 1 # ieta=1, shape=2, ET=70
583 1 # ieta=1, shape=2, ET=71
584 1 # ieta=1, shape=2, ET=72
585 1 # ieta=1, shape=2, ET=73
